اب	أب,آب,أَبّ,أَب,إِبّ
ارجيش	NEWMORPH
ارحب	رَحُب,رَحَّب,رَحِب-َ
ارخس	NEWMORPH
ارخمان	NEWMORPH
ارد	رَدِي-َ,راد,رَدَّى,أَرَدّ,رَدّ,أَرْدَى,أَراد,وَرَد-ِ
اردبيل	أَرْدَبِيل
اردستان	NEWMORPH
اردشاط	NEWMORPH
اردشيرخره	NEWMORPH
اردمشت	NEWMORPH
اردهن	رَدِي-َ,راد,رَدَّى,أَرَدّ,أَراد,أَرْدَى,رَدّ,وَرَد-ِ
اردوال	NEWMORPH
ارز	أَرَزّ,رَزّ,رُزّ,راز,أَرْز
ارزكان	NEWMORPH
ارزن	رَزُن
ارزنان	NEWMORPH
ارزنجان	NEWMORPH
ارزنقاباذ	NEWMORPH
ارزونا	أَرَزّ
ارس	رَسا,رَسَّى,أَرْسَى,أَرَس-ِ
ارسابند	NEWMORPH
ارسناس	NEWMORPH
ارسوف	NEWMORPH
ارشذونة	NEWMORPH
ارشق	رَشُق,رَشَق
ارضيط	NEWMORPH
ارطاة	NEWMORPH
ارعب	رَعَب-َ,رَعَّب,أَرْعَب
ارعنز	NEWMORPH
ارغيان	NEWMORPH
ارفاد	رِفْد
ارقانيا	NEWMORPH
ارقنين	NEWMORPH
ارك	وَرَى-ِ,رَأَى-َ,آر,رَكّ,رَكّ-ِ
اركان	رُكْن,إِرْكان
اركو	NEWMORPH
اركون	NEWMORPH
ارل	رال-ِ
ارم	رَمّ-ِ,رام-ِ,وَرِم-ِ,رَمَى-ِ,أُرَّم,إِرَم,رَمّ,أَرَم-ِ,أَرَّم,رام
ارماث	رَمَث
ارمام	NEWMORPH
ارمائيل	NEWMORPH
ارملول	NEWMORPH
ارمناز	NEWMORPH
ارمنت	NEWMORPH
ارمى	رَمَى-ِ,أُرَّم,إِرَم
ارمي	رَمَى-ِ,أُرَّم,إِرَم
ارمية	رَمَى-ِ,إِرَم
ارميم	NEWMORPH
ارمينية	NEWMORPH
ارمئيل	NEWMORPH
ارن	رَنّ-ِ,رَنا,ران-ِ,رَنَّى,أَرْنَى
ارنبويه	NEWMORPH
ارنم	رَنَّم
ارنيش	NEWMORPH
ارنيط	NEWMORPH
ارهن	وَرَى-ِ,رَهَن-َ,رَأَى-َ,آر,أَرْهَن
ارواد	NEWMORPH
اروان	NEWMORPH
اروخ	NEWMORPH
اروك	أَرْوَى,رَوَى-ِ,رَوَّى
ارول	رَوَّل
اروم	رام
ارون	أَرُون
اروند	NEWMORPH
اروى	أَرْوَى,رَوَى-ِ,رَوَّى
ارياب	NEWMORPH
اريح	رَيَّح,أَراح
اريحا	أَرِيحا
اريض	أَرِيض
اريك	وَرَى-ِ,أَري,آرِيّ,أَرِيكَة
اريكة	أَرِيكَة
اريلية	NEWMORPH
اريم	رام-ِ,رَيَّم
ارينبات	NEWMORPH
ارينبة	NEWMORPH
ارينة	ران-ِ
اريوجان	NEWMORPH
اريول	NEWMORPH
ازاب	NEWMORPH
ازادمرداباذ	NEWMORPH
ازاذان	NEWMORPH
ازاذوار	NEWMORPH
ازال	أَزال,زال-َ,أَزَل
ازبد	أَزْبَد,زَبَد,زَبَّد
ازة	زُهِي-َ,أَزْهَى,زَها,أَزّ
ازجاه	أَزَجّ,أَزَج,أَزْجَى
ازر	أَزار,وَزَر-ِ,زَرَى-ِ,أَزْر,أَزَّر,آزَر,أَزَر-ِ,زَرّ,زار,إِزار,أَزْرَى
ازرميدخت	NEWMORPH
ازقبان	NEWMORPH
ازم	أَزَّم,زام,أَزْمَة,آزِم,زَمّ
ازمورة	NEWMORPH
ازن	وَزَن-ِ,زان-ِ,زَنّ,زَنَى-ِ
ازناو	NEWMORPH
ازنري	NEWMORPH
ازنم	NEWMORPH
ازنيك	زَنَى-ِ
ازوارة	NEWMORPH
ازيلي	NEWMORPH
ازيهر	NEWMORPH
اساف	NEWMORPH
اسال	أَسال
اسالة	أَسالَة,أَسال
اسالم	سالَم
اسانير	NEWMORPH
اساهم	أُسّ,آسَى,آس,أَسَى,ساهَم,أَسا,أَسَّى
اساود	NEWMORPH
اسبار	NEWMORPH
اسبانبر	NEWMORPH
اسبانيكث	NEWMORPH
اسبذ	NEWMORPH
اسبسكث	NEWMORPH
اسبهبذ	NEWMORPH
اسبيذرود	NEWMORPH
اسبيذهان	NEWMORPH
اسبيرن	NEWMORPH
اسبيل	NEWMORPH
استا	آسَى,ٱِسْت,أَسا,أَسَّى
استاذبران	NEWMORPH
استاذخرذ	NEWMORPH
استارقين	NEWMORPH
استانة	إِسْتانَة
استجة	NEWMORPH
استراباذ	NEWMORPH
استرسن	NEWMORPH
استغداديزة	NEWMORPH
استناباذ	NEWMORPH
استوا	NEWMORPH
استوريس	NEWMORPH
استوناوند	NEWMORPH
استيا	ٱِسْتِيّ
استينيا	NEWMORPH
اسحمان	أَسْحَم
اسداباذ	NEWMORPH
اسر	أُسْرَة,أَسَر-ِ,سَرَى-ِ,سَرَّى,سار-ِ,أَسَرّ,أَسار,سَرّ,أُسْر,أَسْرَى,أَسْر
اسروشنة	NEWMORPH
اسطان	NEWMORPH
اسطوان	أُسْطَى
اسطوخوذوس	NEWMORPH
اسف	آسَف,سَفَى-ِ,أَسَف,أَسْفَى,آسِف,أَسَفّ,أَسِف-َ
اسفاقس	NEWMORPH
اسفانبر	NEWMORPH
اسفجين	NEWMORPH
اسفذن	NEWMORPH
اسفرايين	NEWMORPH
اسفرنج	NEWMORPH
اسفزار	NEWMORPH
اسفس	NEWMORPH
اسفنج	إِسْفَنْج
اسفونا	آسَف,أَسْفَى,آسِف,أَسَفّ
اسفي	سَفَى-ِ,أَسَف,أَسْفَى,آسِف
اسفيجاب	NEWMORPH
اسفيذ	NEWMORPH
اسفيذار	NEWMORPH
اسفيذاسنج	NEWMORPH
اسفيذبان	NEWMORPH
اسفيذجان	NEWMORPH
اسفيذدشت	NEWMORPH
اسفيذروذبار	NEWMORPH
اسفيذن	NEWMORPH
اسفيرة	NEWMORPH
اسفينقان	NEWMORPH
اسقب	NEWMORPH
اسقف	سَقْف,سَقَّف,أُسْقُف
اسقفة	سَقْف,سَقَّف,أُسْقُف
اسك	أُسّ,آس,سَكّ-َ,سَكّ,أَسَكّ,ساك
اسكارن	NEWMORPH
اسكاف	إِسْكاف
اسكبون	NEWMORPH
اسكر	أَسْكَر,سَكِر-َ,سَكَّر
اسكلكند	NEWMORPH
اسكندرونة	إِسْكَنْدَرُونَة
اسكونيا	NEWMORPH
اسكيغفن	NEWMORPH
اسلام	إِسْلام
اسلمان	أَسْلَم
اسمند	NEWMORPH
اسميثن	NEWMORPH
اسن	سَنَّى,سَنا,آسِن,أَسِن-َ,أَسَنّ,سَنّ
اسنا	أُسّ,آس,آسِن,أَسِن-َ,أَسَنّ
اسناف	NEWMORPH
اسنان	سِنّ,آسِن,أَسَنّ
اسنمة	سَنام
اسوارية	إِسْوار
اسوان	أَسْوان
اسيا	أَسْيا,آسِي,آسَى,أَسِي-َ,أُسِّيّ,أَسَّى
اسيس	NEWMORPH
اسيلة	سَيَّل,أَسِيل,سال-ِ,أَسال
اسيوت	NEWMORPH
اسيوط	أَسْيُوط
اش	وَشَى-ِ
اشابة	أَشاب,أُشابَة,شابَه
اشاقر	NEWMORPH
اشاهم	NEWMORPH
اشب	شَبّ-ِ,شَبّ,أَشاب,أَشَّب,أَشَب,أَشِب-َ,شاب,شاب-ِ
اشبورة	NEWMORPH
اشبيلية	إِشْبِيلِيَّة,إِشْبِيلِيّ
اشتابديزة	NEWMORPH
اشتاخوست	NEWMORPH
اشتر	ٱِشْتَرَى,شَتَر-ِ
اشترج	NEWMORPH
اشتون	NEWMORPH
اشتيخن	NEWMORPH
اشداخ	NEWMORPH
اشروسنة	NEWMORPH
اشطاط	NEWMORPH
اشفند	NEWMORPH
اشقاب	NEWMORPH
اشقالية	NEWMORPH
اشقة	شَقّ,شَقا,شَقِي,أَشْقَى,شاق,شَقِيق
اشقر	أَشْقَر,شَقِر-َ,ٱِشْقَرّ
اشقوبل	NEWMORPH
اشكابس	NEWMORPH
اشكر	شَكَر
اشكرب	NEWMORPH
اشكنوار	NEWMORPH
اشكوران	NEWMORPH
اشكونية	NEWMORPH
اشكيذبان	NEWMORPH
اشكيشان	NEWMORPH
اشليم	NEWMORPH
اشمذان	NEWMORPH
اشمنت	NEWMORPH
اشموم	NEWMORPH
اشمون	NEWMORPH
اشمونيث	NEWMORPH
اشميون	NEWMORPH
اشناذجرد	NEWMORPH
اشنانبرت	NEWMORPH
اشند	NEWMORPH
اشنه	أُشْنَة,أَشَنّ,شان-ِ,شَنّ
اشنين	NEWMORPH
اشوقة	شَوَّق,شاق
اشونة	شَوَّن
اشي	وَشَى-ِ
اشيح	أَشاح,شَيَّح
اشير	أَشار
اشيقر	NEWMORPH
اصبع	صَبَع-َ,إِصْبَع
اصبغ	صَبَغ
اصبهان	NEWMORPH
اصبهانات	NEWMORPH
اصبهانك	NEWMORPH
اصبهبذان	NEWMORPH
اصطاذنة	NEWMORPH
اصطخر	NEWMORPH
اصطفانوس	NEWMORPH
اصطنبول	NEWMORPH
اصفون	NEWMORPH
اصم	أَصْمَى,صَمّ,وَصَم-ِ,صام,أَصَمّ
اصمت	أَصْمَى,أَصْمَت,صَمَت,أَصَمّ,صَمَّت
اصيل	أَصِيل
اضاخ	NEWMORPH
اضان	NEWMORPH
اضبع	ضَبْع
اضراس	ضِرْس
اضرعة	ضَرَع
اضم	ضام-ِ,ضَمّ
اضوح	NEWMORPH
اطان	NEWMORPH
اطايف	NEWMORPH
اطحل	NEWMORPH
اطد	وَطَد-ِ
اطرابزندة	NEWMORPH
اطرابلس	NEWMORPH
اطرابنش	NEWMORPH
اطرار	NEWMORPH
اطراف	طَرَف
اطرب	أَطْرَب,طَرِب-َ,طَرَّب
اطرقا	أَطْرَق
اطرون	NEWMORPH
اطسا	NEWMORPH
اطفيح	NEWMORPH
اطلاح	NEWMORPH
اطلحاء	NEWMORPH
اطهار	طاهِر
اطواء	طَيّ
اطواب	NEWMORPH
اطيط	أَطِيط
اظايف	NEWMORPH
اظفار	ظُفُر
اظلم	ٱِظَّلَم,أَظْلَم,ظَلَم-َِ
اعابل	NEWMORPH
اعامق	NEWMORPH
اعشار	عُشْر
اعظام	NEWMORPH
اعفر	أَعْفَر,عَفَر-ِ,عَفَّر
اعكش	عَكَش-ِ
اعلاب	NEWMORPH
اعناز	NEWMORPH
اعناك	أَعان
اعواء	NEWMORPH
اعوص	أَعْوَص,عَوِص-َ
اعيار	عَيْر,عار
اعيب	عاب-ِ,عَيَّب
اعيرض	NEWMORPH
اعين	أَعان,عَيَّن,عَيْن
اغذون	NEWMORPH
اغزون	NEWMORPH
اغمات	NEWMORPH
اغناق	NEWMORPH
اغواث	NEWMORPH
افاحيص	أُفْحُوص
افاز	NEWMORPH
افاعية	أَفْعَى
افاق	أَفاق,أُفُق,أَفّاق
افامية	NEWMORPH
افر	فَرَّى,وَفَر-ِ,أَفْرَى,فَرَى-ِ,أَفَرّ,فار,أَفار,فَرّ-ِ
افراغة	إِفْراغ
افران	فُرْن
افرخش	NEWMORPH
افرع	فَرَّع,أَفْرَع
افرندين	NEWMORPH
افريقية	أَفْرِيقِيّ
افسوس	NEWMORPH
افشنة	NEWMORPH
افشوان	NEWMORPH
افشيرقان	NEWMORPH
افكان	إِفْك
افلاطنس	NEWMORPH
افلوغونيا	NEWMORPH
افليج	NEWMORPH
افليلاء	NEWMORPH
افوى	NEWMORPH
افي	وَفَى-ِ,أَفِي
افيح	أَفْيَح
افيعية	NEWMORPH
افيق	أَفاق
اقتد	ٱِقْتَدَى,ٱِقْتاد,ٱِقْتَدّ
اقدام	قَدَم,إِقْدام
اقر	أَقَرّ,قَرّ-َِ,وَقَر-ِ,قَرَى-ِ,قَرا
اقرن	أَقْرَن,قَرَن-ِ
اقريطش	NEWMORPH
اقساس	NEWMORPH
اقفهس	NEWMORPH
اقلوش	NEWMORPH
اقليبية	NEWMORPH
اقليد	إِقْلِيد
اقليش	NEWMORPH
اقليم	إِقْلِيم
اقليمية	إِقْلِيمِيَّة,إِقْلِيم,إِقْلِيمِيّ
اقميناس	NEWMORPH
اقنا	آق,وَقَى-ِ
اقور	قَوَّر
اكام	أَكَمَة
اكباد	كَبِد
اكبرة	كَبَّر,كَبَر,أَكْبَر
اكتال	NEWMORPH
اكرسيف	NEWMORPH
اكسال	NEWMORPH
اكسنتلا	NEWMORPH
اكشوثاء	NEWMORPH
اكشونية	NEWMORPH
اكل	آكِل,أَكَّل,آكَل,كال-ِ,أُكُل,أَكَلّ,أَكَل,أَكْل,وَكَل-ِ
اكلب	كَلِب-َ,كَلَّب
اكمان	NEWMORPH
اكمة	أَكَمَة,أَكْمَه,كَمّ
اكهى	NEWMORPH
اكيراح	NEWMORPH
اكيم	NEWMORPH
الاات	NEWMORPH
الاب	آب,أَب
الابار	بِئْر
الابارق	NEWMORPH
الاباصر	NEWMORPH
الابالخ	NEWMORPH
الابايض	NEWMORPH
الابر	إِبْرَة
الابراقات	NEWMORPH
الابرشية	أَبْرَشِيّ
الابرقان	NEWMORPH
الابرقة	NEWMORPH
الابروق	NEWMORPH
الابطح	أَبْطَح
الابك	NEWMORPH
الابكر	أَبْكَر,بَكْر
الابكين	NEWMORPH
الابلاء	NEWMORPH
الابلة	أَبْلَه,أُبُلَّة
الابلق	أَبْلَق
الابواء	NEWMORPH
الابواص	NEWMORPH
الابيض	أَبْيَض
الات	آلَة
الاتلاء	NEWMORPH
الاتم	أَتَمّ
الاتيم	NEWMORPH
الاثارب	NEWMORPH
الاثالث	NEWMORPH
الاثبجة	NEWMORPH
الاثبرة	NEWMORPH
الاثل	أَثْل
الاثلة	أَثْلَة
الاثوار	NEWMORPH
الاثيداء	NEWMORPH
الاثيرة	أَثِير
الاثيل	أَثِيل
الاجاءة	NEWMORPH
الاجابين	NEWMORPH
الاجام	أَجَمَة
الاجاول	NEWMORPH
الاجباب	جُبّ
الاجدلان	NEWMORPH
الاجر	أُجْرَة,أَجْر
الاجرد	أَجْرَد
الاجرعين	NEWMORPH
الاجفر	NEWMORPH
الاجيراف	NEWMORPH
الاجيفر	NEWMORPH
الاحاسب	NEWMORPH
الاحاسن	أَحْسَن
الاحث	NEWMORPH
الاحدب	أَحْدَب
الاحساء	أَحْساء
الاحسية	حَسْوَة
الاحص	NEWMORPH
الاحصبان	NEWMORPH
الاحفار	NEWMORPH
الاحقاف	NEWMORPH
الاحمدي	أَحْمَدِيّ
الاحمر	أَحْمَر
الاحواز	حَوْز
الاحواض	حَوْض
الاحياء	حَيّ,إِحْياء
الاحيدب	NEWMORPH
الاحيسى	NEWMORPH
الاخابث	NEWMORPH
الاخاديد	أُخْدُود
الاخارج	NEWMORPH
الاخاشب	NEWMORPH
الاخباب	NEWMORPH
الاخراب	NEWMORPH
الاخرج	NEWMORPH
الاخرجان	NEWMORPH
الاخرجة	NEWMORPH
الاخرجية	NEWMORPH
الاخرم	NEWMORPH
الاخروت	NEWMORPH
الاخروج	NEWMORPH
الاخشب	NEWMORPH
الاخشبان	NEWMORPH
الاخشين	NEWMORPH
الاخصاص	خُصّ
الاخضر	أَخْضَر
الاخلفة	NEWMORPH
الاخنونية	NEWMORPH
الاخيان	NEWMORPH
الاداة	أَداة
الادامي	NEWMORPH
الاداهم	NEWMORPH
الادبر	NEWMORPH
الادنيان	أَدْنَى
الادهم	أَدْهَم
الادواء	دَوَى,داء
الاراسة	NEWMORPH
الارام	رِئْم,إِرَم
الاربس	NEWMORPH
الاربعاء	أَرْبِعاء
الارتيق	NEWMORPH
الارجام	NEWMORPH
الارحاء	رَحَى
الارحضية	NEWMORPH
الارخ	NEWMORPH
الاردن	أُرْدُنّ
الارفغ	NEWMORPH
الارفود	NEWMORPH
الارند	NEWMORPH
الاريتاق	NEWMORPH
الارين	NEWMORPH
الازاج	أَزَج
الازارق	NEWMORPH
الازاغب	NEWMORPH
الازج	أَزَجّ,أَزَج
الازوران	أَزْوَر
الاساسان	أَساس
الاسكندرية	إِسْكَنْدَرِيَّة,إِسْكَنْدَرِيّ
الاسواط	سَوْط
الاسورة	سِوار
الاشاءة	NEWMORPH
الاشافي	إِشْفَى
الاشتوم	NEWMORPH
الاشعر	أَشْعَر
الاشفار	شَفْر
الاشفيان	NEWMORPH
الاشق	NEWMORPH
الاشل	أَشَلّ
الاشنان	أُشْنان
الاشيم	NEWMORPH
الاشيمان	NEWMORPH
الاصاد	NEWMORPH
الاصاغي	NEWMORPH
الاصدار	إِصْدار
الاصنام	صَنَم
الاصهبيات	NEWMORPH
الاصيهب	NEWMORPH
الاضاء	NEWMORPH
الاضارع	NEWMORPH
الاضوج	NEWMORPH
الاعارف	NEWMORPH
الاعبدة	NEWMORPH
الاعدان	NEWMORPH
الاعراض	عَرَض,إِعْراض,عِرْض
الاعراف	عُرْف
الاعزلان	أَعْزَل
الاعقة	عَقِيق
الاعلم	أَعْلَم
الاعماق	عُمْق
الاعوض	NEWMORPH
الاعيان	عَيْن
الاعيرف	NEWMORPH
الاغدرة	NEWMORPH
الاغر	أَغَرّ
الاغران	أَغَرّ
الافاعي	أَفْعَى
الافاقة	أَفّاق,إِفاقَة
الافاهيد	NEWMORPH
الافداغ	NEWMORPH
الافراحون	NEWMORPH
الافراع	NEWMORPH
الافراق	NEWMORPH
الافشولية	NEWMORPH
الافقوسية	NEWMORPH
الافلاج	فَلَج
الافهار	NEWMORPH
الاق	لاقَى
الاقاعص	NEWMORPH
الاقحوانة	NEWMORPH
الاقدحان	NEWMORPH
الاقرع	أَقْرَع
الاقصر	أَقْصَر,أُقْصُر
الاقطانتين	NEWMORPH
الاقعس	أَقْعَس
الاقفاص	قَفَص
الاقلام	قَلَم
الاقياع	NEWMORPH
الاقير	NEWMORPH
الاقيصر	NEWMORPH
الاقيلبة	NEWMORPH
الاكاحل	NEWMORPH
الاكادر	NEWMORPH
الاكام	أَكَمَة
الاكراد	كُرْدِيّ
الاكناف	كَنَف
الاكواخ	كُوخ
الاكوار	كُور
الاكوام	كَوْم
الال	آل
الالاهة	إِلاه,إِلٰه
الالة	إِلٰه,آلَة
الاليل	NEWMORPH
الاماحل	NEWMORPH
الامالح	NEWMORPH
الامثال	مِثْل,مَثَل
الامراء	أَمِير
الامراج	NEWMORPH
الامرار	مُرّ,إِمْرار
الامرغ	NEWMORPH
الاملاح	مِلْح,مَلِيح
الاملال	NEWMORPH
الاملحان	أَمْلَح
الاملول	NEWMORPH
الامهاد	NEWMORPH
الاميرية	أَمِيرِيّ
الاميشط	NEWMORPH
الاميلح	NEWMORPH
الاميلحان	NEWMORPH
الامين	أَمِين
الاميوط	NEWMORPH
الانبار	أَنْبار,نِبْر
الاندلس	أَنْدَلُس
الانسر	NEWMORPH
الانعم	أَنْعَم,نِعْمَة
الانعمان	أَنْعَم
الانقور	NEWMORPH
الانكبردة	NEWMORPH
الانواص	NEWMORPH
الانواط	نَوْط
الانيس	أَنِيس
الانيعم	NEWMORPH
الاهرام	هَرَم
الاهمول	NEWMORPH
الاهواز	أَهْواز
الاهيل	NEWMORPH
الاوار	أُوار
الاواشح	NEWMORPH
الاوانة	NEWMORPH
الاوداء	NEWMORPH
الاودات	NEWMORPH
الاودية	وادِي
الاوزاع	أَوْزاع
الاوسج	NEWMORPH
الاوسية	NEWMORPH
الاوطاس	NEWMORPH
الاوعار	وَعْر
الاولاج	NEWMORPH
الاياد	NEWMORPH
الايال	NEWMORPH
الايسر	أَيْسَر
الايسن	NEWMORPH
