اب	أب,آب,أَب,أَبّ,إِبّ
ابه	آب,بَهِي-َ,آبِه,أَبَه,أَبَه-َِ,أَبّ
ابهر	بَهَر-َ,أَبْهَر
ابوان	أَب
ابوى	أَب,أَبَوِيّ
ابويط	NOTFOUND
ابيار	NOTFOUND
ابيان	أَبِيّ,آبِي
ابيدة	أَباد,باد-ِ
ابير	أَبار
ابيط	NOTFOUND
ابيم	NOTFOUND
ابين	أَبْيَن,أَبان,بَيَّن,آبِي,أَبَى-َ,بان-ِ
ابيورد	NOTFOUND
ابيوهة	NOTFOUND
اتريب	تَرَيَّب
اتريش	تَرَيَّش
اتشند	NOTFOUND
اتفيح	NOTFOUND
اتكو	NOTFOUND
اتل	أَتْلَى,تَلا
اتيدة	NOTFOUND
اتيل	تَيَّل
اثافت	NOTFOUND
اثال	NOTFOUND
اثامد	NOTFOUND
اثاية	NOTFOUND
اثبيت	NOTFOUND
اثرب	ثَرَّب,ثَرَب-ِ
اثليدم	NOTFOUND
اثمد	إِثْمِد
اثنان	ٱِثْنانِ
اثوا	أَثّ-َُِ
اثور	ثار,ثَوَّر
اثول	أُثُول,أَثْل
اثيدة	NOTFOUND
اثير	أَثِير,أَثار
اثيفيات	NOTFOUND
اثيفية	NOTFOUND
اثيل	أَثِيل
اجا	أَجّ
اجارد	NOTFOUND
اجان	جانَى
اجدابية	NOTFOUND
اجداد	جَدّ
اجدث	NOTFOUND
اجذال	جِذْل
اجر	آجَر,جار,أَجَر,أَجار,أَجَّر,أُجْرَة,أَجْر,أَجْرَى,جَرَى-ِ,جَرّ,أَجَرّ
اجراد	NOTFOUND
اجراف	NOTFOUND
اجرب	أَجْرَب,جَرَّب,جَرِب-َ
اجزل	أَجْزَل,جَزُل
اجش	أَجَشّ,جاش-ِ,جَشّ
اجشد	NOTFOUND
اجلة	آجِلَة,أَجْل,أَجَّل,جَلا,أَجْلَى,جَلَى-ِ,جال,آجِل,جَلَّى,أَجال,أَجَلّ,أَجَل
اجلى	أَجْل,جَلا,أَجْلَى,جَلَى-ِ,آجِل,جَلَّى,أَجَلّ,أَجَل
اجم	جَمّ-ُِ,وَجَم-ِ,أَجَمَة
اجنادين	NOTFOUND
اجنقان	NOTFOUND
اجول	جال,جَوَّل
اجوية	NOTFOUND
اجياد	جَواد
اجيرة	أَجار,جَيَّر,أَجِير,أَجِيرَة
احارب	حارَب
احامرة	NOTFOUND
احباب	حَبِيب
احثال	NOTFOUND
احد	أَحَد,أَحَّد,حَدِي,حاد-ِ,حاد,أَحَدّ,حَدّ,حَدّ-ِ,حَدا
احدث	حَدَث,أَحْدَث
احراد	NOTFOUND
احراص	NOTFOUND
احراض	NOTFOUND
احرض	حَرَض-ِ,حَرَّض
احزاب	حِزْب
احلى	أَحْلَى,حَلَى,حَلَّى,حَلِي-َ,حَلُو
احليل	إِحْلِيل
احليلاء	NOTFOUND
احليلي	إِحْلِيل
احمداباذ	NOTFOUND
احوس	NOTFOUND
اخا	أَخ
اخثال	NOTFOUND
اخر	خار-ِ,خَرّ-ُِ,آخِر,خار,آخَر
اخرب	أَخْرَب,خَرِب-َ,خَرَب-ِ,خَرَّب
اخرم	خَرَم-ِ,خَرَّم
اخزم	خَزَم-ِ
اخسيسك	NOTFOUND
اخسيكث	NOTFOUND
اخشنبة	NOTFOUND
اخطب	خَطَب
اخطبة	خَطَب,خِطاب
اخلاء	إِخْلاء,خَلِيل
اخميم	NOTFOUND
اخنا	أَخَنّ,وَخَى-ِ
اخناث	NOTFOUND
ادام	أَدام,إِدام,أَدّام
ادامى	إِدام,أَدّام
ادبي	آدِب,أَدَب,أَدَبِيّ,أَدْب
ادرفركال	NOTFOUND
ادرنت	أَدْرَن
ادرنكة	NOTFOUND
ادريت	أَدْرَى
ادريجة	NOTFOUND
ادفة	داف,دَفّ-ِ
ادفو	NOTFOUND
ادقية	أَدَقّ
ادم	دَمّ,أَدام,آدَم,دام,دَمِي-َ,دَمَّى,أَدْمَى
ادماء	NOTFOUND
ادماث	NOTFOUND
ادمام	NOTFOUND
ادمان	إِدْمان
ادمى	دَمِي-َ,دَمَّى,آدَمِيّ,أَدْمَى
اديات	NOTFOUND
اديم	أَدام,أَدِيم
اديمة	أَدام,أَدِيم
اذاخر	NOTFOUND
اذاسا	NOTFOUND
اذافر	NOTFOUND
اذبل	ذَبَل
اذربيجان	أَذَرْبَيْجان
اذرح	NOTFOUND
اذرع	ذِراع,ذَرَع-َ
اذرعات	NOTFOUND
اذرم	NOTFOUND
اذرمة	NOTFOUND
اذكان	NOTFOUND
اذلق	أَذْلَق
اذن	أَذِن-َ,أَذَّن,آذِن,إِذْن,أُذُن,آذَن,إِذَن,شَنّ
اذنة	أَذِن-َ,أَذَّن,إِذْن,آذِن,أُذُن,آذَن
اذون	إِذْن
اذينة	أَذِي-َ,أُذَيْنَة,آذَى,أُذَيْن
اذيوخان	NOTFOUND
اراب	آراب,رابَى,إِرْب,أَراب
ارابن	NOTFOUND
ارار	NOTFOUND
اراش	NOTFOUND
اراط	NOTFOUND
اراطة	NOTFOUND
اراطى	NOTFOUND
اراظ	NOTFOUND
اراق	أَراق,أُراق
اراك	رَأَى-َ
ارال	NOTFOUND
اران	NOTFOUND
ارانب	أَرْنَب
ارباع	رُبْع
اربة	أَرَب,أَرَب-ِ,راب-ِ,آرَب,راب,أَرِب,أُرْب,إِرْب,أَراب,أَرْبَى,رَبا,رَبَّى
اربد	ٱِرْبَدّ,إِرْبِد
اربق	NOTFOUND
اربك	أَرَب,رَبَك,أَرَب-ِ,راب-ِ,آرَب,راب,أَرْبَك,أَرِب,رَبِك-َ,أُرْب,أَراب,إِرْب,أَرْبَى,رَبَّى,رَبا
اربل	NOTFOUND
اربنجن	NOTFOUND
اربونة	NOTFOUND
اربيخ	NOTFOUND
ارة	رَها,وَرَى-ِ,رَأَى-َ,آر
ارتاح	ٱِرْتاح
ارتامة	NOTFOUND
ارتل	رَتَّل,رَتِل-َ
ارتيان	NOTFOUND
ارثخشميثن	NOTFOUND
ارثد	NOTFOUND
ارجان	أَرِج
ارجذونة	NOTFOUND
ارجكوك	NOTFOUND
ارجنوس	NOTFOUND
ارجونة	أَرْجُون
ارجيش	NOTFOUND
ارحب	رَحُب,رَحَّب,رَحِب-َ
ارخس	NOTFOUND
ارخمان	NOTFOUND
ارد	رَدِي-َ,راد,رَدَّى,أَرَدّ,أَرْدَى,أَراد,رَدّ,وَرَد-ِ
اردبيل	أَرْدَبِيل
اردستان	NOTFOUND
اردشاط	NOTFOUND
اردشيرخره	NOTFOUND
اردمشت	NOTFOUND
اردهن	رَدِي-َ,راد,رَدَّى,أَرَدّ,رَدّ,أَرْدَى,أَراد,وَرَد-ِ
اردوال	NOTFOUND
ارز	أَرَزّ,رَزّ,رُزّ,راز,أَرْز
ارزكان	NOTFOUND
ارزن	رَزُن
ارزنان	NOTFOUND
ارزنجان	NOTFOUND
ارزنقاباذ	NOTFOUND
ارزونا	أَرَزّ
ارس	رَسا,رَسَّى,أَرْسَى,أَرَس-ِ
ارسابند	NOTFOUND
ارسناس	NOTFOUND
ارسوف	NOTFOUND
ارشذونة	NOTFOUND
ارشق	رَشُق,رَشَق
ارضيط	NOTFOUND
ارطاة	NOTFOUND
ارعب	رَعَب-َ,رَعَّب,أَرْعَب
ارعنز	NOTFOUND
ارغيان	NOTFOUND
ارفاد	رِفْد
ارقانيا	NOTFOUND
ارقنين	NOTFOUND
ارك	وَرَى-ِ,رَأَى-َ,آر,رَكّ,رَكّ-ِ
اركان	رُكْن,إِرْكان
اركو	NOTFOUND
اركون	NOTFOUND
ارل	رال-ِ
ارم	رَمّ-ِ,رام-ِ,وَرِم-ِ,رَمَى-ِ,أُرَّم,إِرَم,رَمّ,أَرَّم,أَرَم-ِ,رام
ارماث	رَمَث
ارمام	NOTFOUND
ارمائيل	NOTFOUND
ارملول	NOTFOUND
ارمناز	NOTFOUND
ارمنت	NOTFOUND
ارمى	رَمَى-ِ,أُرَّم,إِرَم
ارمي	رَمَى-ِ,أُرَّم,إِرَم
ارمية	رَمَى-ِ,إِرَم
ارميم	NOTFOUND
ارمينية	NOTFOUND
ارمئيل	NOTFOUND
ارن	رَنّ-ِ,رَنا,ران-ِ,رَنَّى,أَرْنَى
ارنبويه	NOTFOUND
ارنم	رَنَّم
ارنيش	NOTFOUND
ارنيط	NOTFOUND
ارهن	وَرَى-ِ,رَهَن-َ,رَأَى-َ,آر,أَرْهَن
ارواد	NOTFOUND
اروان	NOTFOUND
اروخ	NOTFOUND
اروك	أَرْوَى,رَوَى-ِ,رَوَّى
ارول	رَوَّل
اروم	رام
ارون	أَرُون
اروند	NOTFOUND
اروى	أَرْوَى,رَوَى-ِ,رَوَّى
ارياب	NOTFOUND
اريح	رَيَّح,أَراح
اريحا	أَرِيحا
اريض	أَرِيض
اريك	وَرَى-ِ,أَري,آرِيّ,أَرِيكَة
اريكة	أَرِيكَة
اريلية	NOTFOUND
اريم	رام-ِ,رَيَّم
ارينبات	NOTFOUND
ارينبة	NOTFOUND
ارينة	ران-ِ
اريوجان	NOTFOUND
اريول	NOTFOUND
ازاب	NOTFOUND
ازادمرداباذ	NOTFOUND
ازاذان	NOTFOUND
ازاذوار	NOTFOUND
ازال	أَزال,زال-َ,أَزَل
ازبد	أَزْبَد,زَبَد,زَبَّد
ازة	زُهِي-َ,أَزْهَى,زَها,أَزّ
ازجاه	أَزَجّ,أَزَج,أَزْجَى
ازر	أَزار,وَزَر-ِ,زَرَى-ِ,أَزْر,آزَر,أَزَّر,زَرّ,أَزَر-ِ,زار,إِزار,أَزْرَى
ازرميدخت	NOTFOUND
ازقبان	NOTFOUND
ازم	أَزَّم,زام,أَزْمَة,آزِم,زَمّ
ازمورة	NOTFOUND
ازن	وَزَن-ِ,زان-ِ,زَنّ,زَنَى-ِ
ازناو	NOTFOUND
ازنري	NOTFOUND
ازنم	NOTFOUND
ازنيك	زَنَى-ِ
ازوارة	NOTFOUND
ازيلي	NOTFOUND
ازيهر	NOTFOUND
اساف	NOTFOUND
اسال	أَسال
اسالة	أَسالَة,أَسال
اسالم	سالَم
اسانير	NOTFOUND
اساهم	أُسّ,آسَى,آس,أَسَى,ساهَم,أَسا,أَسَّى
اساود	NOTFOUND
اسبار	NOTFOUND
اسبانبر	NOTFOUND
اسبانيكث	NOTFOUND
اسبذ	NOTFOUND
اسبسكث	NOTFOUND
اسبهبذ	NOTFOUND
اسبيذرود	NOTFOUND
اسبيذهان	NOTFOUND
اسبيرن	NOTFOUND
اسبيل	NOTFOUND
استا	آسَى,ٱِسْت,أَسا,أَسَّى
استاذبران	NOTFOUND
استاذخرذ	NOTFOUND
استارقين	NOTFOUND
استانة	إِسْتانَة
استجة	NOTFOUND
استراباذ	NOTFOUND
استرسن	NOTFOUND
استغداديزة	NOTFOUND
استناباذ	NOTFOUND
استوا	NOTFOUND
استوريس	NOTFOUND
استوناوند	NOTFOUND
استيا	ٱِسْتِيّ
استينيا	NOTFOUND
اسحمان	أَسْحَم
اسداباذ	NOTFOUND
اسر	أُسْرَة,أَسَر-ِ,سَرَى-ِ,سار-ِ,سَرَّى,أَسَرّ,أَسار,سَرّ,أُسْر,أَسْر,أَسْرَى
اسروشنة	NOTFOUND
اسطان	NOTFOUND
اسطوان	أُسْطَى
اسطوخوذوس	NOTFOUND
اسف	آسَف,سَفَى-ِ,أَسَف,أَسْفَى,آسِف,أَسَفّ,أَسِف-َ
اسفاقس	NOTFOUND
اسفانبر	NOTFOUND
اسفجين	NOTFOUND
اسفذن	NOTFOUND
اسفرايين	NOTFOUND
اسفرنج	NOTFOUND
اسفزار	NOTFOUND
اسفس	NOTFOUND
اسفنج	إِسْفَنْج
اسفونا	آسَف,أَسْفَى,آسِف,أَسَفّ
اسفي	سَفَى-ِ,أَسَف,أَسْفَى,آسِف
اسفيجاب	NOTFOUND
اسفيذ	NOTFOUND
اسفيذار	NOTFOUND
اسفيذاسنج	NOTFOUND
اسفيذبان	NOTFOUND
اسفيذجان	NOTFOUND
اسفيذدشت	NOTFOUND
اسفيذروذبار	NOTFOUND
اسفيذن	NOTFOUND
اسفيرة	NOTFOUND
اسفينقان	NOTFOUND
اسقب	NOTFOUND
اسقف	سَقْف,سَقَّف,أُسْقُف
اسقفة	سَقْف,سَقَّف,أُسْقُف
اسك	أُسّ,آس,سَكّ-َ,سَكّ,أَسَكّ,ساك
اسكارن	NOTFOUND
اسكاف	إِسْكاف
اسكبون	NOTFOUND
اسكر	سَكِر-َ,أَسْكَر,سَكَّر
اسكلكند	NOTFOUND
اسكندرونة	إِسْكَنْدَرُونَة
اسكونيا	NOTFOUND
اسكيغفن	NOTFOUND
اسلام	إِسْلام
اسلمان	أَسْلَم
اسمند	NOTFOUND
اسميثن	NOTFOUND
اسن	سَنَّى,سَنا,آسِن,أَسَنّ,أَسِن-َ,سَنّ
اسنا	أُسّ,آس,آسِن,أَسِن-َ,أَسَنّ
اسناف	NOTFOUND
اسنان	سِنّ,آسِن,أَسَنّ
اسنمة	سَنام
اسوارية	إِسْوار
اسوان	أَسْوان
اسيا	أَسْيا,آسَى,آسِي,أَسِي-َ,أُسِّيّ,أَسَّى
اسيس	NOTFOUND
اسيلة	سَيَّل,أَسِيل,سال-ِ,أَسال
اسيوت	NOTFOUND
اسيوط	أَسْيُوط
اش	وَشَى-ِ
اشابة	أَشاب,أُشابَة,شابَه
اشاقر	NOTFOUND
اشاهم	NOTFOUND
اشب	شَبّ-ِ,شَبّ,أَشاب,أَشَّب,أَشَب,أَشِب-َ,شاب,شاب-ِ
اشبورة	NOTFOUND
اشبيلية	إِشْبِيلِيَّة,إِشْبِيلِيّ
اشتابديزة	NOTFOUND
اشتاخوست	NOTFOUND
اشتر	ٱِشْتَرَى,شَتَر-ِ
اشترج	NOTFOUND
اشتون	NOTFOUND
اشتيخن	NOTFOUND
اشداخ	NOTFOUND
اشروسنة	NOTFOUND
اشطاط	NOTFOUND
اشفند	NOTFOUND
اشقاب	NOTFOUND
اشقالية	NOTFOUND
اشقة	شَقّ,شَقا,شَقِي,أَشْقَى,شاق,شَقِيق
اشقر	أَشْقَر,شَقِر-َ,ٱِشْقَرّ
اشقوبل	NOTFOUND
اشكابس	NOTFOUND
اشكر	شَكَر
اشكرب	NOTFOUND
اشكنوار	NOTFOUND
اشكوران	NOTFOUND
اشكونية	NOTFOUND
اشكيذبان	NOTFOUND
اشكيشان	NOTFOUND
اشليم	NOTFOUND
اشمذان	NOTFOUND
اشمنت	NOTFOUND
اشموم	NOTFOUND
اشمون	NOTFOUND
اشمونيث	NOTFOUND
اشميون	NOTFOUND
اشناذجرد	NOTFOUND
اشنانبرت	NOTFOUND
اشند	NOTFOUND
اشنه	أُشْنَة,أَشَنّ,شان-ِ,شَنّ
اشنين	NOTFOUND
اشوقة	شَوَّق,شاق
اشونة	شَوَّن
اشي	وَشَى-ِ
اشيح	أَشاح,شَيَّح
اشير	أَشار
اشيقر	NOTFOUND
اصبع	صَبَع-َ,إِصْبَع
اصبغ	صَبَغ
اصبهان	NOTFOUND
اصبهانات	NOTFOUND
اصبهانك	NOTFOUND
اصبهبذان	NOTFOUND
اصطاذنة	NOTFOUND
اصطخر	NOTFOUND
اصطفانوس	NOTFOUND
اصطنبول	NOTFOUND
اصفون	NOTFOUND
اصم	صَمّ,أَصْمَى,وَصَم-ِ,صام,أَصَمّ
اصمت	أَصْمَى,أَصْمَت,صَمَت,أَصَمّ,صَمَّت
اصيل	أَصِيل
اضاخ	NOTFOUND
اضان	NOTFOUND
اضبع	ضَبْع
اضراس	ضِرْس
اضرعة	ضَرَع
اضم	ضام-ِ,ضَمّ
اضوح	NOTFOUND
اطان	NOTFOUND
اطايف	NOTFOUND
اطحل	NOTFOUND
اطد	وَطَد-ِ
اطرابزندة	NOTFOUND
اطرابلس	NOTFOUND
اطرابنش	NOTFOUND
اطرار	NOTFOUND
اطراف	طَرَف
اطرب	أَطْرَب,طَرِب-َ,طَرَّب
اطرقا	أَطْرَق
اطرون	NOTFOUND
اطسا	NOTFOUND
اطفيح	NOTFOUND
اطلاح	NOTFOUND
اطلحاء	NOTFOUND
اطهار	طاهِر
اطواء	طَيّ
اطواب	NOTFOUND
اطيط	أَطِيط
اظايف	NOTFOUND
اظفار	ظُفُر
اظلم	ٱِظَّلَم,أَظْلَم,ظَلَم-َِ
اعابل	NOTFOUND
اعامق	NOTFOUND
اعشار	عُشْر
اعظام	NOTFOUND
اعفر	أَعْفَر,عَفَر-ِ,عَفَّر
اعكش	عَكَش-ِ
اعلاب	NOTFOUND
اعناز	NOTFOUND
اعناك	أَعان
اعواء	NOTFOUND
اعوص	أَعْوَص,عَوِص-َ
اعيار	عَيْر,عار
اعيب	عاب-ِ,عَيَّب
اعيرض	NOTFOUND
اعين	أَعان,عَيَّن,عَيْن
اغذون	NOTFOUND
اغزون	NOTFOUND
اغمات	NOTFOUND
اغناق	NOTFOUND
اغواث	NOTFOUND
افاحيص	أُفْحُوص
افاز	NOTFOUND
افاعية	أَفْعَى
افاق	أَفاق,أُفُق,أَفّاق
افامية	NOTFOUND
افر	فَرَّى,وَفَر-ِ,أَفْرَى,أَفَرّ,فَرَى-ِ,فار,فَرّ-ِ,أَفار
افراغة	إِفْراغ
افران	فُرْن
افرخش	NOTFOUND
افرع	فَرَّع,أَفْرَع
افرندين	NOTFOUND
افريقية	أَفْرِيقِيّ
افسوس	NOTFOUND
افشنة	NOTFOUND
افشوان	NOTFOUND
افشيرقان	NOTFOUND
افكان	إِفْك
افلاطنس	NOTFOUND
افلوغونيا	NOTFOUND
افليج	NOTFOUND
افليلاء	NOTFOUND
افوى	NOTFOUND
افي	وَفَى-ِ,أَفِي
افيح	أَفْيَح
افيعية	NOTFOUND
افيق	أَفاق
اقتد	ٱِقْتَدَى,ٱِقْتاد,ٱِقْتَدّ
اقدام	قَدَم,إِقْدام
اقر	أَقَرّ,قَرّ-َِ,وَقَر-ِ,قَرَى-ِ,قَرا
اقرن	أَقْرَن,قَرَن-ِ
اقريطش	NOTFOUND
اقساس	NOTFOUND
اقفهس	NOTFOUND
اقلوش	NOTFOUND
اقليبية	NOTFOUND
اقليد	إِقْلِيد
اقليش	NOTFOUND
اقليم	إِقْلِيم
اقليمية	إِقْلِيمِيَّة,إِقْلِيم,إِقْلِيمِيّ
اقميناس	NOTFOUND
اقنا	آق,وَقَى-ِ
اقور	قَوَّر
اكام	أَكَمَة
اكباد	كَبِد
اكبرة	كَبَّر,كَبَر,أَكْبَر
اكتال	NOTFOUND
اكرسيف	NOTFOUND
اكسال	NOTFOUND
اكسنتلا	NOTFOUND
اكشوثاء	NOTFOUND
اكشونية	NOTFOUND
اكل	أَكَّل,آكِل,آكَل,كال-ِ,أُكُل,أَكَلّ,أَكَل,أَكْل,وَكَل-ِ
اكلب	كَلِب-َ,كَلَّب
اكمان	NOTFOUND
اكمة	أَكَمَة,أَكْمَه,كَمّ
اكهى	NOTFOUND
اكيراح	NOTFOUND
اكيم	NOTFOUND
الاات	NOTFOUND
الاب	آب,أَب
الابار	بِئْر
الابارق	NOTFOUND
الاباصر	NOTFOUND
الابالخ	NOTFOUND
الابايض	NOTFOUND
الابر	إِبْرَة
الابراقات	NOTFOUND
الابرشية	أَبْرَشِيّ
الابرقان	NOTFOUND
الابرقة	NOTFOUND
الابروق	NOTFOUND
الابطح	أَبْطَح
الابك	NOTFOUND
الابكر	أَبْكَر,بَكْر
الابكين	NOTFOUND
الابلاء	NOTFOUND
الابلة	أَبْلَه,أُبُلَّة
الابلق	أَبْلَق
الابواء	NOTFOUND
الابواص	NOTFOUND
الابيض	أَبْيَض
الات	آلَة
الاتلاء	NOTFOUND
الاتم	أَتَمّ
الاتيم	NOTFOUND
الاثارب	NOTFOUND
الاثالث	NOTFOUND
الاثبجة	NOTFOUND
الاثبرة	NOTFOUND
الاثل	أَثْل
الاثلة	أَثْلَة
الاثوار	NOTFOUND
الاثيداء	NOTFOUND
الاثيرة	أَثِير
الاثيل	أَثِيل
الاجاءة	NOTFOUND
الاجابين	NOTFOUND
الاجام	أَجَمَة
الاجاول	NOTFOUND
الاجباب	جُبّ
الاجدلان	NOTFOUND
الاجر	أُجْرَة,أَجْر
الاجرد	أَجْرَد
الاجرعين	NOTFOUND
الاجفر	NOTFOUND
الاجيراف	NOTFOUND
الاجيفر	NOTFOUND
الاحاسب	NOTFOUND
الاحاسن	أَحْسَن
الاحث	NOTFOUND
الاحدب	أَحْدَب
الاحساء	أَحْساء
الاحسية	حَسْوَة
الاحص	NOTFOUND
الاحصبان	NOTFOUND
الاحفار	NOTFOUND
الاحقاف	NOTFOUND
الاحمدي	أَحْمَدِيّ
الاحمر	أَحْمَر
الاحواز	حَوْز
الاحواض	حَوْض
الاحياء	حَيّ,إِحْياء
الاحيدب	NOTFOUND
الاحيسى	NOTFOUND
الاخابث	NOTFOUND
الاخاديد	أُخْدُود
الاخارج	NOTFOUND
الاخاشب	NOTFOUND
الاخباب	NOTFOUND
الاخراب	NOTFOUND
الاخرج	NOTFOUND
الاخرجان	NOTFOUND
الاخرجة	NOTFOUND
الاخرجية	NOTFOUND
الاخرم	NOTFOUND
الاخروت	NOTFOUND
الاخروج	NOTFOUND
الاخشب	NOTFOUND
الاخشبان	NOTFOUND
الاخشين	NOTFOUND
الاخصاص	خُصّ
الاخضر	أَخْضَر
الاخلفة	NOTFOUND
الاخنونية	NOTFOUND
الاخيان	NOTFOUND
الاداة	أَداة
الادامي	NOTFOUND
الاداهم	NOTFOUND
الادبر	NOTFOUND
الادنيان	أَدْنَى
الادهم	أَدْهَم
الادواء	دَوَى,داء
الاراسة	NOTFOUND
الارام	رِئْم,إِرَم
الاربس	NOTFOUND
الاربعاء	أَرْبِعاء
الارتيق	NOTFOUND
الارجام	NOTFOUND
الارحاء	رَحَى
الارحضية	NOTFOUND
الارخ	NOTFOUND
الاردن	أُرْدُنّ
الارفغ	NOTFOUND
الارفود	NOTFOUND
الارند	NOTFOUND
الاريتاق	NOTFOUND
الارين	NOTFOUND
الازاج	أَزَج
الازارق	NOTFOUND
الازاغب	NOTFOUND
الازج	أَزَجّ,أَزَج
الازوران	أَزْوَر
الاساسان	أَساس
الاسكندرية	إِسْكَنْدَرِيَّة,إِسْكَنْدَرِيّ
الاسواط	سَوْط
الاسورة	سِوار
الاشاءة	NOTFOUND
الاشافي	إِشْفَى
الاشتوم	NOTFOUND
الاشعر	أَشْعَر
الاشفار	شَفْر
الاشفيان	NOTFOUND
الاشق	NOTFOUND
الاشل	أَشَلّ
الاشنان	أُشْنان
الاشيم	NOTFOUND
الاشيمان	NOTFOUND
الاصاد	NOTFOUND
الاصاغي	NOTFOUND
الاصدار	إِصْدار
الاصنام	صَنَم
الاصهبيات	NOTFOUND
الاصيهب	NOTFOUND
الاضاء	NOTFOUND
الاضارع	NOTFOUND
الاضوج	NOTFOUND
الاعارف	NOTFOUND
الاعبدة	NOTFOUND
الاعدان	NOTFOUND
الاعراض	عَرَض,إِعْراض,عِرْض
الاعراف	عُرْف
الاعزلان	أَعْزَل
الاعقة	عَقِيق
الاعلم	أَعْلَم
الاعماق	عُمْق
الاعوض	NOTFOUND
الاعيان	عَيْن
الاعيرف	NOTFOUND
الاغدرة	NOTFOUND
الاغر	أَغَرّ
الاغران	أَغَرّ
الافاعي	أَفْعَى
الافاقة	أَفّاق,إِفاقَة
الافاهيد	NOTFOUND
الافداغ	NOTFOUND
الافراحون	NOTFOUND
الافراع	NOTFOUND
الافراق	NOTFOUND
الافشولية	NOTFOUND
الافقوسية	NOTFOUND
الافلاج	فَلَج
الافهار	NOTFOUND
الاق	لاقَى
الاقاعص	NOTFOUND
الاقحوانة	NOTFOUND
الاقدحان	NOTFOUND
الاقرع	أَقْرَع
الاقصر	أَقْصَر,أُقْصُر
الاقطانتين	NOTFOUND
الاقعس	أَقْعَس
الاقفاص	قَفَص
الاقلام	قَلَم
الاقياع	NOTFOUND
الاقير	NOTFOUND
الاقيصر	NOTFOUND
الاقيلبة	NOTFOUND
الاكاحل	NOTFOUND
الاكادر	NOTFOUND
الاكام	أَكَمَة
الاكراد	كُرْدِيّ
الاكناف	كَنَف
الاكواخ	كُوخ
الاكوار	كُور
الاكوام	كَوْم
الال	آل
الالاهة	إِلاه,إِلٰه
الالة	إِلٰه,آلَة
الاليل	NOTFOUND
الاماحل	NOTFOUND
الامالح	NOTFOUND
الامثال	مِثْل,مَثَل
الامراء	أَمِير
الامراج	NOTFOUND
الامرار	مُرّ,إِمْرار
الامرغ	NOTFOUND
الاملاح	مِلْح,مَلِيح
الاملال	NOTFOUND
الاملحان	أَمْلَح
الاملول	NOTFOUND
الامهاد	NOTFOUND
الاميرية	أَمِيرِيّ
الاميشط	NOTFOUND
الاميلح	NOTFOUND
الاميلحان	NOTFOUND
الامين	أَمِين
الاميوط	NOTFOUND
الانبار	أَنْبار,نِبْر
الاندلس	أَنْدَلُس
الانسر	NOTFOUND
الانعم	أَنْعَم,نِعْمَة
الانعمان	أَنْعَم
الانقور	NOTFOUND
الانكبردة	NOTFOUND
الانواص	NOTFOUND
الانواط	نَوْط
الانيس	أَنِيس
الانيعم	NOTFOUND
الاهرام	هَرَم
الاهمول	NOTFOUND
الاهواز	أَهْواز
الاهيل	NOTFOUND
الاوار	أُوار
الاواشح	NOTFOUND
الاوانة	NOTFOUND
الاوداء	NOTFOUND
الاودات	NOTFOUND
الاودية	وادِي
الاوزاع	أَوْزاع
الاوسج	NOTFOUND
الاوسية	NOTFOUND
الاوطاس	NOTFOUND
الاوعار	وَعْر
الاولاج	NOTFOUND
الاياد	NOTFOUND
الايال	NOTFOUND
الايسر	أَيْسَر
الايسن	NOTFOUND
