أبين	أَبان,بَيَّن,أَبْيَن,بان-ِ,أَبَى-َ
باب	آب,أَب,إِبّ,باب
البصرة	بَصْرَة
باجة	باجَه
بالس	NOTFOUND
بانياس	بانْياس
بخارى	بُخارِيّ,بُخار
برذعة	بَرْذَعَة
برقة	رِقَّة,رَقّ,رِقّ,بَرْق,بَرَق,بَرْقَة
بست	باس,سِتّ,بَسّ
بسطام	سِطام
بصرى	بَصَر,بَصْرِيّ,بَصَرِيّ
بطليوس	بَطَلْيَوْس
بعلبك	عُلْبَة,بَعْلَبَكّ
بغداد	بَغْداد
الترك	تَرْك,تُرْكِيّ
بلخ	NOTFOUND
بلنسية	بَلَنْسِيَة
بيت	بَيْت,بَيَّت
المقدس	مَقْدِس,مُقَدِّس,مُقَدَّس
البيت	بَيْت
المقدس	مَقْدِس,مُقَدِّس,مُقَدَّس
بيهق	NOTFOUND
تبريز	تَبْرِيز
تدمر	دَمَر,تَدْمُر,دَمَّر,تَدَمَّر
تركستان	تُرْكِسْتان
ترمذ	NOTFOUND
تفليس	تَفْلِيس
تكريت	تَكَرَّى,تِكْرِيت
تلمسان	تِلِمْسان,لَمَس
تنيس	تِنِس
تهامة	تِهامَة
تونس	تَوْنَس,تُونِس
تيماء	تَيْماء
جبال	جَبَل
جبلة	جِبْلَة,جَبَل,جَبْلَة,جِبِلَّة
جرجان	NOTFOUND
جزيرة	جَزِيرَة
ابن	أَبان,ٱِبْن,آب,أَبَّن,بَنَى-ِ,بان-ِ
عمر	عَمُر,عَمَّر,عَمَر,عُمْر,عَمِر-َ,عُمَر
جهينة	جُهَيْنَة,جَهِي-َ
جيان	NOTFOUND
جيحون	NOTFOUND
جيلان	جِيل
حجر	حَجَّر,حُجْرَة,حَجَر,حِجْر,حَجْر
حران	حُرّ,حَرّان
حضرموت	حَضْرَمَوْت
حلب	حَلَب,حَلَب-ُِ,حَلْب
حلوان	حُلْوان,حُلْو
حما	حَم,حَمّ
حماة	حُمَة,حَم,حِمَى,حَمّ,حَمَى-ِ,حَماة,حُمَّى,حامِي,حَمَّى
حمص	حِمْص,حَمَّص,حُمُّص
حمى	حُمَة,حَمِي-َ,حَم,حَمِيّ,حِمَى,حُمِّيّ,حَمَى-ِ,حُمَّى,حَمَّى
حمير	حِمار
حوران	حَوْران
خثعم	NOTFOUND
خراسان	خُراسان
خلاط	خَلّاط
خوارزم	NOTFOUND
خوزستان	خُوزِسْتان
خولان	NOTFOUND
خيبر	خَيْبَر
دجلة	دَجْل,دَجَل,دَجَّل,دِجْلَة
دجيل	NOTFOUND
دمشق	دِمَشْق
دمياط	دُمْياط
دهستان	NOTFOUND
رأس	رَأَس-َِ,رَأْس
عين	عَيَّن,عَيْن
رية	رِئَة,رَيّ
زبالة	زَبّال,زُبالَة
زبيد	زُبَيْد
زنجان	NOTFOUND
زويلة	NOTFOUND
سارية	سارِيَة,وَرَى-ِ,سارِي,سارّ
سجستان	NOTFOUND
سر	سُرّ,سِرّ,سَرّ
سرخس	سَرْخَس
سرقسطة	سَرَقُسْطَة
سلمى	سُلَّم,سِلْمِيّ,سَلْمَى,سِلْم
سلمية	سُلَّم,سِلْمِيّ
سمرقند	سَمَرْقَنْد
سميساط	NOTFOUND
سنجار	جارَى,أَجار
سيراف	NOTFOUND
شروان	NOTFOUND
شهرزور	NOTFOUND
شيراز	شِيراز
صعدة	صَعِيد,صَعِد-َ,صَعْدَة,صَعَّد
صقلية	صِقِلِّيّ
صنعاء	صَنْعاء
صور	صُورَة,صَوَّر,صُور
صيداء	صَيْداء
طبرستان	NOTFOUND
طبرية	طَبَرِيَّة,طَبَرِيّ
طبس	NOTFOUND
طرابلس	طَرابُلُس
طرسوس	NOTFOUND
طليطلة	طُلَيْطِلَة
طوس	طَوَّس
عثر	عَثَّر,عَثَر
عدن	عَدْن,عاد
عذرة	عُذْرَة,عُذْر,عَذَر-ِ
عزاز	NOTFOUND
عسقلان	عَسْقَل,عَسْقَلان
عكا	عَكَّة,عَكّ
عمان	عَمّ,عُمان,عَمّان
عير	عَيْر,عَيَّر
عين	عَيَّن,عَيْن
التمر	تَمْر
غرناطة	غَرْناطَة
غزة	غَزَّة
غزنة	NOTFOUND
فارس	رَسا,رَسَّى,فارِس,أَرْسَى,أَرَس-ِ
فاس	أُسّ,آسِي,آس,إِس,فاس
فدك	دَكّ
فرغانة	NOTFOUND
فزارة	فَزارَة,زار
فلج	لُجّ,لَجّ-َِ,فَلَج-ِ,فَلْج,فَلَج,فَلَّج
فلسطين	فِلَسْطِين
فيد	يَد,وَدَى-ِ
قاشان	NOTFOUND
قديد	قَدِيد
قرطبة	قُرْطُبَة
قرمونة	NOTFOUND
قرن	قِرْن,قَرْن,قَرَن-ِ,قُرْنَة
قزوين	قَزْوِين
قطربل	NOTFOUND
قم	قَمّ
قنسرين	NOTFOUND
قهستان	NOTFOUND
قوص	NOTFOUND
قومس	قَوْمَس
قيس	قَيَّس,قَيْس
قيسارية	NOTFOUND
كابل	إِبْل,كابُل,كابِل,كابَل
كاظمة	كاظِم,كاظِمَة
كرمان	رُمّان
كرمينية	NOTFOUND
كس	NOTFOUND
كلاب	كُلّاب,كَلْب
كلب	كَلَب,كَلِب,كَلْب,لُبّ,كَلِب-َ,كَلَّب
كنانة	كِنانَة,كُنَّة
ما	ما
وراء	وَراءَ,وَراء,وَراءُ,راء,رائِي
النهر	نَهار,نَهْر
مذحج	NOTFOUND
مراد	مُراد,مارِد,مَراد,مَرّاد
مراغة	NOTFOUND
مرو	مَرْوَة,مَرْو
مرو	مَرْوَة,مَرْو
الروذ	NOTFOUND
مصر	مِصْر,مُصِرّ
معدن	مُعَدِّن,مَعَد-َ,مَعْدِن,مَعْدَن
مكة	مَكَّة
مكران	مَكَرّ
ملل	مِلَّة,مُلَّة,مَلَل
منبج	NOTFOUND
منى	مُنَى,مَنَى-ِ,مَنّ,مِنَى,مِن,مَنَّى,مَنَى
مهرة	مَهْر,مُهْرَة,مُهْر,ماهِر
ميافارقين	NOTFOUND
نابلس	نابُلُس
نجد	وَجَد-ِ,أَجْدَى,جَدا,نَجَد,نَجِد-َ,نَجْد,أَجَدّ,جاد,نَجَّد,أَجاد,جَدّ-ِ
نجران	نَجْران
نخلة	نَخْلَة,نَخَل,أَخْلَى,خَلّ,خَلا,خال-َ,نَخْل,خَلَّى,أَخَلّ
نسا	NOTFOUND
نسف	نَسْف,سَفَى-ِ,أَسْفَى,نَسَف-ِ,أَسَفّ
نصيبين	نَصِيبِين,نَصِيب
نهاوند	NOTFOUND
نهر	نَهار,نَهْر,هار,هَرا,وَهَر-ِ,هَرّ-ِ,نَهَر-َ
الملك	مَلِك,مِلْك,مُلْك
نيسابور	NOTFOUND
هجر	هَجَر,هَجَّر,هَجْر
هراة	هَرا,هَراة,هَرّ-ِ
همذان	NOTFOUND
همدان	NOTFOUND
هيت	هَيَّت,هَيْتَ,هِيت
وادي	أَدَّى,وادِي,إِدّ,وَدَى-ِ
?القرى	قَرْيَة,قِرَى
واسط	سَطا,ساط
يزد	زاد-ِ,أَزاد
ينبع	ٱِنْباع,أَنْبَع,يَنْبُع,نَبَع-َُِ
