##### MuCjam al-buldan 
الآبار	بِئْر
أبشية	NOTFOUND
أبضع	أَبْضَع,بَضَّع,بَضَع-َ
الأبطح	أَبْطَح
أبغر	بَغَر
الأبكر	بَكْر,أَبْكَر
الأبك	NOTFOUND
أبكن	أَبّ
الأبكين	NOTFOUND
الأبلاء	NOTFOUND
أبلستين	NOTFOUND
الأبلق	أَبْلَق
الأبلة	أَبْلَه,أُبُلَّة
أبلى	بَلا,بَلِي-َ,أَبْلَى
أبلي	بَلا,بَلِي-َ,أَبْلَى
إبليل	NOTFOUND
ابنبم	NOTFOUND
ابند	بَنَّد
أبنود	NOTFOUND
أبنى	بَنَى-ِ,أَبان,أَبّ
الأبواء	NOTFOUND
أبوى	أَب,أَبَوِيّ
الأبواص	NOTFOUND
أبوان	أَب
أبويط	NOTFOUND
أبهر	بَهَر-َ,أَبْهَر
أبة	بَهِي-َ,أَبَه,أَبَه-َِ,أَبّ
أبيار	NOTFOUND
إبيان	NOTFOUND
أبيدة	أَباد,باد-ِ
أبير	أَبار
إبير	NOTFOUND
الأبيض	أَبْيَض
أبيط	NOTFOUND
أبيم	NOTFOUND
أبين	أَبْيَن,أَبان,بَيَّن,أَبَى-َ,بان-ِ
أبيورد	NOTFOUND
أبيوهة	NOTFOUND
أتريب	تَرَيَّب
إتريش	NOTFOUND
أتشند	NOTFOUND
إتفيح	NOTFOUND
أتكو	NOTFOUND
الأتلاء	NOTFOUND
إتل	NOTFOUND
الإتم	NOTFOUND
الأتم	أَتَمّ
أتيدة	NOTFOUND
الأتيم	NOTFOUND
الأثارب	NOTFOUND
أثافت	NOTFOUND
الأثالث	NOTFOUND
أثال	NOTFOUND
أثامد	NOTFOUND
أثاية	NOTFOUND
الأثبجة	NOTFOUND
الأثبرة	NOTFOUND
إثبيت	NOTFOUND
أثرب	ثَرَّب,ثَرَب-ِ
الأثل	أَثْل
الأثلة	أَثْلَة
أثليدم	NOTFOUND
إثمد	إِثْمِد
أثنان	NOTFOUND
أثوا	أَثّ-َُِ
الأثوار	NOTFOUND
أثور	ثار,ثَوَّر
أثول	أُثُول,أَثْل
الأثيداء	NOTFOUND
أثيدة	NOTFOUND
أثير	أَثِير,أَثار
الأثيرة	أَثِير
أثيفيات	NOTFOUND
أثيفية	NOTFOUND
أثيل	أَثِيل
الأثيل	أَثِيل
أجأ	NOTFOUND
الأجاءة	NOTFOUND
أجارد	NOTFOUND
أجان	جانَى
الأجاول	NOTFOUND
الأجابين	NOTFOUND
الأجباب	جُبّ
أجدابية	NOTFOUND
أجداد	جَدّ
أجدث	NOTFOUND
الأجدلان	NOTFOUND
أجذال	جِذْل
أجراد	NOTFOUND
أجراف	NOTFOUND
أجرب	أَجْرَب,جَرَّب,جَرِب-َ
الأجرد	أَجْرَد
أجر	جار,أَجَر,أَجار,أَجَّر,أُجْرَة,أَجْر,أَجْرَى,جَرَى-ِ,أَجَرّ,جَرّ
الأجرعين	NOTFOUND
أجزل	أَجْزَل,جَزُل
أجشد	NOTFOUND
أجش	أَجَشّ,جاش-ِ,جَشّ
الأجفر	NOTFOUND
إجلة	NOTFOUND
أجلى	أَجْل,جَلا,أَجْلَى,جَلَى-ِ,جَلَّى,أَجَلّ,أَجَل
أجم	جَمّ-ُِ,وَجَم-ِ,أَجَمَة
أجنادين	NOTFOUND
أجنقان	NOTFOUND
أجول	جال,جَوَّل
أجوية	NOTFOUND
أجياد	جَواد
الأجيراف	NOTFOUND
أجيرة	أَجار,جَيَّر,أَجِير,أَجِيرَة
الأجيفر	NOTFOUND
أحارب	حارَب
الأحاسب	NOTFOUND
الأحاسن	أَحْسَن
أحامرة	NOTFOUND
أحباب	حَبِيب
أحثال	NOTFOUND
الأحث	NOTFOUND
الأحدب	أَحْدَب
أحدث	حَدَث,أَحْدَث
أحد	أَحَد,أَحَّد,حَدِي,حاد-ِ,حاد,أَحَدّ,حَدّ-ِ,حَدّ,حَدا
أحراد	NOTFOUND
أحراص	NOTFOUND
أحراض	NOTFOUND
أحرض	حَرَض-ِ,حَرَّض
أحزاب	حِزْب
الأحساء	أَحْساء
الأحسية	حَسْوَة
الأحصبان	NOTFOUND
الأحص	NOTFOUND
الأحفار	NOTFOUND
الأحقاف	NOTFOUND
أحلى	أَحْلَى,حَلَى,حَلَّى,حَلِي-َ,حَلُو
إحليلي	إِحْلِيل
إحليلاء	NOTFOUND
إحليل	إِحْلِيل
أحمداباذ	NOTFOUND
الأحمدي	أَحْمَدِيّ
الأحمر	أَحْمَر
الأحواز	حَوْز
الأحواض	حَوْض
أحوس	NOTFOUND
الأحياء	حَيّ
الأحيدب	NOTFOUND
الأحيسى	NOTFOUND
أخا	أَخ
الأخاديد	أُخْدُود
الأخابث	NOTFOUND
الأخارج	NOTFOUND
الأخاشب	NOTFOUND
الأخباب	NOTFOUND
أخثال	NOTFOUND
الأخراب	NOTFOUND
أخرب	أَخْرَب,خَرِب-َ,خَرَب-ِ,خَرَّب
الأخرجان	NOTFOUND
الأخرج	NOTFOUND
الأخرجة	NOTFOUND
الأخرجية	NOTFOUND
أخرم	خَرَم-ِ,خَرَّم
الأخرم	NOTFOUND
الأخروت	NOTFOUND
الأخروج	NOTFOUND
أخزم	خَزَم-ِ
أخسيسك	NOTFOUND
أخسيكث	NOTFOUND
الأخشبان	NOTFOUND
الأخشب	NOTFOUND
أخشنبة	NOTFOUND
الإخشين	NOTFOUND
الأخصاص	خُصّ
الأخضر	أَخْضَر
أخطب	خَطَب
أخطبة	خَطَب,خِطاب
أخلاء	خَلِيل
الأخلفة	NOTFOUND
إخميم	NOTFOUND
إخنا	NOTFOUND
أخناث	NOTFOUND
الأخنونية	NOTFOUND
الأخيان	NOTFOUND
أدامى	أَدّام
الأدامي	NOTFOUND
أدام	أَدام,أَدّام
الأداهم	NOTFOUND
الأداة	أَداة
الأدبر	NOTFOUND
أدبي	أَدَب,أَدَبِيّ,أَدْب
أدرفركال	NOTFOUND
أدرنكة	NOTFOUND
إدريت	NOTFOUND
إدريجة	NOTFOUND
أدفو	NOTFOUND
أدفة	داف,دَفّ-ِ
أدقية	أَدَقّ
أدماء	NOTFOUND
أدماث	NOTFOUND
أدمام	NOTFOUND
أدمان	NOTFOUND
أدم	دَمّ,أَدام,دام,دَمِي-َ,دَمَّى,أَدْمَى
أدمى	دَمِي-َ,دَمَّى,أَدْمَى
الأدنيان	أَدْنَى
الأدواء	دَوَى,داء
الأدهم	أَدْهَم
أديات	NOTFOUND
أديم	أَدام,أَدِيم
أديمة	أَدام,أَدِيم
أذاخر	NOTFOUND
أذافر	NOTFOUND
أذاسا	NOTFOUND
أذبل	ذَبَل
أذربيجان	أَذَرْبَيْجان
أذرح	NOTFOUND
أذرعات	NOTFOUND
أذرع	ذِراع,ذَرَع-َ
أذرمة	NOTFOUND
أدرنت	أَدْرَن
أذكان	NOTFOUND
أذلق	أَذْلَق
أذن	أَذِن-َ,أَذَّن,أُذُن,شَنّ
أذنة	أَذِن-َ,أَذَّن,أُذُن
أذون	إِذْن
أذينة	أَذِي-َ,أُذَيْنَة,أُذَيْن
إراب	NOTFOUND
أرابن	NOTFOUND
الأرأسة	NOTFOUND
إرار	NOTFOUND
أرار	NOTFOUND
إراش	NOTFOUND
أراط	NOTFOUND
أراطة	NOTFOUND
أراطى	NOTFOUND
أراظ	NOTFOUND
أراق	أَراق,أُراق
أراك	رَأَى-َ
أرال	NOTFOUND
أرانب	أَرْنَب
أران	NOTFOUND
أرباع	رُبْع
أربد	ٱِرْبَدّ
الأربس	NOTFOUND
الأربعاء	أَرْبِعاء
أربق	NOTFOUND
أربك	أَرَب,رَبَك,أَرَب-ِ,راب-ِ,راب,أَرْبَك,أَرِب,أُرْب,رَبِك-َ,أَراب,أَرْبَى,رَبَّى,رَبا
إربل	NOTFOUND
أربنجن	NOTFOUND
أربونة	NOTFOUND
أربة	أَرَب,أَرَب-ِ,راب-ِ,راب,أَرِب,أُرْب,أَراب,أَرْبَى,رَبا,رَبَّى
أربيخ	NOTFOUND
أرتاح	ٱِرْتاح
أرتامة	NOTFOUND
أرتل	رَتَّل,رَتِل-َ
أرتيان	NOTFOUND
الأرتيق	NOTFOUND
ارثخشميثن	NOTFOUND
أرثد	NOTFOUND
الأرجام	NOTFOUND
أرجان	أَرِج
أرجذونة	NOTFOUND
أرجكوك	NOTFOUND
إرجنوس	NOTFOUND
أرجونة	أَرْجُون
أرجيش	NOTFOUND
الأرحاء	رَحَى
أرحب	رَحُب,رَحَّب,رَحِب-َ
الأرحضية	NOTFOUND
الأرخ	NOTFOUND
أرخس	NOTFOUND
أرخمان	NOTFOUND
أرد	رَدِي-َ,راد,أَرَدّ,رَدَّى,رَدّ,أَراد,أَرْدَى,وَرَد-ِ
أردبيل	أَرْدَبِيل
أردستان	NOTFOUND
أردشاط	NOTFOUND
أردشيرخره	NOTFOUND
أردمشت	NOTFOUND
الأردن	أُرْدُنّ
أردوال	NOTFOUND
أردهن	رَدِي-َ,راد,رَدَّى,أَرَدّ,رَدّ,أَراد,أَرْدَى,وَرَد-ِ
أرز	أَرَزّ,رَزّ,رُزّ,أَرْز,راز
أرزكان	NOTFOUND
أرزنان	NOTFOUND
أرزنجان	NOTFOUND
أرزنقاباذ	NOTFOUND
أرزن	رَزُن
أرزن	رَزُن
أرسابند	NOTFOUND
أرس	رَسا,رَسَّى,أَرْسَى,أَرَس-ِ
أرسناس	NOTFOUND
أرسوف	NOTFOUND
أرشذونة	NOTFOUND
أرشق	رَشُق,رَشَق
أرضيط	NOTFOUND
أرطاة	NOTFOUND
أرعب	رَعَب-َ,رَعَّب,أَرْعَب
أرعنز	NOTFOUND
أرغيان	NOTFOUND
أرفاد	رِفْد
الأرفغ	NOTFOUND
الأرفود	NOTFOUND
ارقانيا	NOTFOUND
أرقنين	NOTFOUND
أركان	رُكْن
أرك	وَرَى-ِ,رَأَى-َ,رَكّ,رَكّ-ِ
أركو	NOTFOUND
أركون	NOTFOUND
أرل	رال-ِ
أرماث	رَمَث
أرمام	NOTFOUND
أرمائيل	NOTFOUND
إرم	إِرَم
أرم	رَمّ-ِ,رام-ِ,وَرِم-ِ,رَمَى-ِ,أُرَّم,رَمّ,أَرَم-ِ,أَرَّم,رام
أرملول	NOTFOUND
أرمناز	NOTFOUND
أرمنت	NOTFOUND
أرمئيل	NOTFOUND
إرميم	NOTFOUND
أرمية	رَمَى-ِ
إرمينية	NOTFOUND
أرمى	رَمَى-ِ,أُرَّم
أرمي	رَمَى-ِ,أُرَّم
أرنبويه	NOTFOUND
الأرند	NOTFOUND
إرن	NOTFOUND
أرن	رَنّ-ِ,رَنا,ران-ِ,رَنَّى,أَرْنَى
أرنم	رَنَّم
أرنيش	NOTFOUND
أرنيط	NOTFOUND
أرواد	NOTFOUND
أروان	NOTFOUND
أروخ	NOTFOUND
أروك	أَرْوَى,رَوَى-ِ,رَوَّى
أرول	رَوَّل
أروم	رام
أروند	NOTFOUND
أرون	أَرُون
أروى	أَرْوَى,رَوَى-ِ,رَوَّى
أرياب	NOTFOUND
الأريتاق	NOTFOUND
أريحا	أَرِيحا
أريح	رَيَّح,أَراح
أريض	أَرِيض
أريك	وَرَى-ِ,أَري,أَرِيكَة
أريكة	أَرِيكَة
أريلية	NOTFOUND
أريم	رام-ِ,رَيَّم
أرينبات	NOTFOUND
الأرين	NOTFOUND
أرينة	ران-ِ
أرينبة	NOTFOUND
أريوجان	NOTFOUND
أريول	NOTFOUND
أزادمرداباذ	NOTFOUND
أزاذوار	NOTFOUND
الأزارق	NOTFOUND
الأزاغب	NOTFOUND
أزال	أَزال,زال-َ
إزبد	NOTFOUND
أزجاه	أَزَجّ,أَزَج,أَزْجَى
الأزج	أَزَجّ,أَزَج
أزرميدخت	NOTFOUND
أزقبان	NOTFOUND
أزم	أَزَّم,زام,زَمّ
أزمورة	NOTFOUND
أزناو	NOTFOUND
أزنري	NOTFOUND
أزنم	NOTFOUND
أزن	وَزَن-ِ,زان-ِ,زَنّ,زَنَى-ِ
أزنيك	زَنَى-ِ
أزوارة	NOTFOUND
الأزوران	أَزْوَر
أزة	زُهِي-َ,أَزْهَى,زَها,أَزّ
أزيلي	NOTFOUND
أزيهر	NOTFOUND
الأساسان	أَساس
إساف	NOTFOUND
أسالم	سالَم
أسالة	أَسالَة,أَسال
أسانير	NOTFOUND
أساود	NOTFOUND
أساهم	أُسّ,أَسَى,ساهَم,أَسا,أَسَّى
أسبار	NOTFOUND
اسبانبر	NOTFOUND
أسبانيكث	NOTFOUND
أسبذ	NOTFOUND
إسبسكث	NOTFOUND
أسبهبذ	NOTFOUND
إسبيذرود	NOTFOUND
إسبيذهان	NOTFOUND
أسبيرن	NOTFOUND
إسبيل	NOTFOUND
إستا	ٱِسْت
أستاذبران	NOTFOUND
أستاذخرذ	NOTFOUND
إستارقين	NOTFOUND
إستانة	إِسْتانَة
إستجة	NOTFOUND
أستراباذ	NOTFOUND
أسترسن	NOTFOUND
أستغداديزة	NOTFOUND
أستناباذ	NOTFOUND
أستوا	NOTFOUND
أستوريس	NOTFOUND
أستوناوند	NOTFOUND
إستينيا	NOTFOUND
أستيا	NOTFOUND
اسحمان	أَسْحَم
أسداباذ	NOTFOUND
أسر	أُسْرَة,أَسَر-ِ,سار-ِ,سَرَى-ِ,سَرَّى,أَسَرّ,أَسار,سَرّ,أُسْر,أَسْر,أَسْرَى
أسروشنة	NOTFOUND
أسطان	NOTFOUND
أسطوان	أُسْطَى
أسطوخوذوس	NOTFOUND
أسفاقس	NOTFOUND
أسفانبر	NOTFOUND
أسفجين	NOTFOUND
إسفذن	NOTFOUND
أسفرايين	NOTFOUND
إسفرنج	NOTFOUND
أسفزار	NOTFOUND
إسفس	NOTFOUND
أسف	سَفَى-ِ,أَسَف,أَسْفَى,أَسِف-َ,أَسَفّ
إسفنج	إِسْفَنْج
أسفونا	أَسْفَى,أَسَفّ
أسفيجاب	NOTFOUND
أسفيذار	NOTFOUND
أسفيذاسنج	NOTFOUND
أسفيذبان	NOTFOUND
أسفيذجان	NOTFOUND
أسفيذدشت	NOTFOUND
أسفيذ	NOTFOUND
أسفيذروذبار	NOTFOUND
أسفيذن	NOTFOUND
أسفيرة	NOTFOUND
إسفينقان	NOTFOUND
أسفي	سَفَى-ِ,أَسَف,أَسْفَى
أسقب	NOTFOUND
أسقف	سَقْف,سَقَّف,أُسْقُف
أسقفة	سَقْف,سَقَّف,أُسْقُف
إسكارن	NOTFOUND
إسكاف	إِسْكاف
أسكبون	NOTFOUND
أسكر	أَسْكَر,سَكِر-َ,سَكَّر
إسكلكند	NOTFOUND
إسكندرونة	إِسْكَنْدَرُونَة
الإسكندرية	إِسْكَنْدَرِيَّة,إِسْكَنْدَرِيّ
اسكونيا	NOTFOUND
اسكيغفن	NOTFOUND
أسلام	NOTFOUND
أسلمان	أَسْلَم
أسمند	NOTFOUND
إسميثن	NOTFOUND
إسنا	NOTFOUND
أسناف	NOTFOUND
أسنان	سِنّ,أَسَنّ
أسنمة	سَنام
أسن	سَنَّى,سَنا,أَسَنّ,أَسِن-َ,سَنّ
أسوارية	إِسْوار
الأسواط	سَوْط
أسوان	أَسْوان
الأسورة	سِوار
أسيس	NOTFOUND
أسيلة	سَيَّل,أَسِيل,سال-ِ,أَسال
أسيوت	NOTFOUND
أسيوط	أَسْيُوط
الأشاءة	NOTFOUND
أشابة	أَشاب,أُشابَة,شابَه
الأشافي	إِشْفَى
أشاقر	NOTFOUND
أشاهم	NOTFOUND
أشبورة	NOTFOUND
إشبيلية	إِشْبِيلِيَّة,إِشْبِيلِيّ
أشتابديزة	NOTFOUND
أشتاخوست	NOTFOUND
أشترج	NOTFOUND
أشتر	ٱِشْتَرَى,شَتَر-ِ
الأشتوم	NOTFOUND
أشتون	NOTFOUND
إشتيخن	NOTFOUND
أشداخ	NOTFOUND
أشروسنة	NOTFOUND
إش	NOTFOUND
أش	وَشَى-ِ
أشطاط	NOTFOUND
الأشعر	أَشْعَر
الأشفار	شَفْر
أشفند	NOTFOUND
الإشفيان	NOTFOUND
أشقاب	NOTFOUND
أشقالية	NOTFOUND
أشقر	أَشْقَر,شَقِر-َ,ٱِشْقَرّ
الأشق	NOTFOUND
أشقوبل	NOTFOUND
أشقة	شَقّ,شَقا,شَقِي,أَشْقَى,شاق,شَقِيق
أشكابس	NOTFOUND
إشكرب	NOTFOUND
أشكر	شَكَر
إشكنوار	NOTFOUND
أشكوران	NOTFOUND
أشكونية	NOTFOUND
إشكيذبان	NOTFOUND
أشكيشان	NOTFOUND
الأشل	أَشَلّ
إشليم	NOTFOUND
أشمذان	NOTFOUND
إشمنت	NOTFOUND
أشموم	NOTFOUND
أشمون	NOTFOUND
أشمونيث	NOTFOUND
أشميون	NOTFOUND
أشناذجرد	NOTFOUND
أشنانبرت	NOTFOUND
الأشنان	أُشْنان
أشند	NOTFOUND
أشنه	أُشْنَة,أَشَنّ,شان-ِ,شَنّ
إشنين	NOTFOUND
أشوقة	شَوَّق,شاق
أشونة	شَوَّن
أشيح	أَشاح,شَيَّح
أشير	أَشار
أشيقر	NOTFOUND
الأشيمان	NOTFOUND
الأشيم	NOTFOUND
أشي	وَشَى-ِ
الإصاد	NOTFOUND
الأصاغي	NOTFOUND
إصبع	إِصْبَع
أصبغ	صَبَغ
أصبهانات	NOTFOUND
إصبهانك	NOTFOUND
أصبهان	NOTFOUND
أصبهبذان	NOTFOUND
الأصدار	NOTFOUND
اصطاذنة	NOTFOUND
إصطخر	NOTFOUND
أصطفانوس	NOTFOUND
إصطنبول	NOTFOUND
أصفون	NOTFOUND
إصمت	NOTFOUND
أصم	صَمّ,أَصْمَى,وَصَم-ِ,صام,أَصَمّ
الأصنام	صَنَم
الأصهبيات	NOTFOUND
أصيل	أَصِيل
الأصيهب	NOTFOUND
الأضاء	NOTFOUND
أضاخ	NOTFOUND
الأضارع	NOTFOUND
إضان	NOTFOUND
أضبع	ضَبْع
أضراس	ضِرْس
أضرعة	ضَرَع
إضم	NOTFOUND
أضم	ضام-ِ,ضَمّ
الأضوج	NOTFOUND
أضوح	NOTFOUND
إطان	NOTFOUND
أطايف	NOTFOUND
أطحل	NOTFOUND
أطد	وَطَد-ِ
أطرابزندة	NOTFOUND
أطرب	أَطْرَب,طَرِب-َ,طَرَّب
أطرابلس	NOTFOUND
أطرابنش	NOTFOUND
أطرار	NOTFOUND
أطراف	طَرَف
أطرقا	أَطْرَق
أطرون	NOTFOUND
إطفيح	NOTFOUND
أطسا	NOTFOUND
أطلاح	NOTFOUND
أطلحاء	NOTFOUND
أطواء	طَيّ
أطواب	NOTFOUND
أطهار	طاهِر
أطيط	أَطِيط
أظايف	NOTFOUND
أظفار	ظُفُر
أظلم	ٱِظَّلَم,أَظْلَم,ظَلَم-َِ
أعابل	NOTFOUND
الأعارف	NOTFOUND
أعامق	NOTFOUND
الأعبدة	NOTFOUND
الأعدان	NOTFOUND
الأعراض	عَرَض,عِرْض
الأعراف	عُرْف
الأعزلان	أَعْزَل
أعشار	عُشْر
أعظام	NOTFOUND
أعفر	أَعْفَر,عَفَر-ِ,عَفَّر
الأعقة	عَقِيق
أعكش	عَكَش-ِ
أعلاب	NOTFOUND
الأعلم	أَعْلَم
الأعماق	عُمْق
أعناز	NOTFOUND
أعناك	أَعان
أعواء	NOTFOUND
أعوص	أَعْوَص,عَوِص-َ
الأعوض	NOTFOUND
أعيار	عَيْر,عار
الأعيان	عَيْن
أعيب	عاب-ِ,عَيَّب
أعيرض	NOTFOUND
الأعيرف	NOTFOUND
أعين	أَعان,عَيَّن,عَيْن
الأغدرة	NOTFOUND
أغذون	NOTFOUND
الأغران	أَغَرّ
الأغر	أَغَرّ
أغزون	NOTFOUND
أغمات	NOTFOUND
أغناق	NOTFOUND
أغواث	NOTFOUND
أفاحيص	أُفْحُوص
الأفاعي	أَفْعَى
أفاعية	أَفْعَى
أفاق	أَفاق,أَفّاق
الأفاقة	أَفّاق
أفامية	NOTFOUND
الأفاهيد	NOTFOUND
الأفداغ	NOTFOUND
الأفراحون	NOTFOUND
الأفراع	NOTFOUND
إفراغة	إِفْراغ
الأفراق	NOTFOUND
أفران	فُرْن
أفرخش	NOTFOUND
أفر	فَرَّى,وَفَر-ِ,أَفْرَى,أَفَرّ,فَرَى-ِ,فار,فَرّ-ِ,أَفار
أفرع	فَرَّع,أَفْرَع
أفرندين	NOTFOUND
إفريقية	أَفْرِيقِيّ
أفسوس	NOTFOUND
أفشنة	NOTFOUND
أفشوان	NOTFOUND
الأفشولية	NOTFOUND
إفشيرقان	NOTFOUND
الأفقوسية	NOTFOUND
أفكان	NOTFOUND
الأفلاج	فَلَج
أفلاطنس	NOTFOUND
أفلوغونيا	NOTFOUND
إفليج	NOTFOUND
أفليلاء	NOTFOUND
أفوى	NOTFOUND
الأفهار	NOTFOUND
أفيح	أَفْيَح
أفيعية	NOTFOUND
أفيق	أَفاق
أفي	وَفَى-ِ,أَفِي
الأقاعص	NOTFOUND
أقتد	ٱِقْتَدَى,ٱِقْتاد,ٱِقْتَدّ
الأقحوانة	NOTFOUND
إقدام	إِقْدام
الأقدحان	NOTFOUND
أقر	أَقَرّ,قَرّ-َِ,وَقَر-ِ,قَرَى-ِ,قَرا
الأقرع	أَقْرَع
أقرن	أَقْرَن,قَرَن-ِ
أقريطش	NOTFOUND
أقساس	NOTFOUND
الأقصر	أَقْصَر,أُقْصُر
الأقطانتين	NOTFOUND
الأقعس	أَقْعَس
الأقفاص	قَفَص
أقفهس	NOTFOUND
الأقلام	قَلَم
أقلوش	NOTFOUND
إقليبية	NOTFOUND
إقليد	إِقْلِيد
أقليش	NOTFOUND
إقليم	إِقْلِيم
إقليمية	إِقْلِيمِيَّة,إِقْلِيم,إِقْلِيمِيّ
أقميناس	NOTFOUND
إقنا	NOTFOUND
أقور	قَوَّر
الأقياع	NOTFOUND
الأقير	NOTFOUND
الأقيصر	NOTFOUND
الأقيلبة	NOTFOUND
الأكاحل	NOTFOUND
الأكادر	NOTFOUND
إكام	أَكَمَة
الاكام	أَكَمَة
أكباد	كَبِد
أكبرة	كَبَّر,كَبَر,أَكْبَر
أكتال	NOTFOUND
اكرسيف	NOTFOUND
أكسال	NOTFOUND
أكسنتلا	NOTFOUND
أكشوثاء	NOTFOUND
أكشونية	NOTFOUND
أكلب	كَلِب-َ,كَلَّب
أكل	أَكَّل,كال-ِ,أُكُل,أَكَلّ,أَكَل,أَكْل,وَكَل-ِ
أكمان	NOTFOUND
أكمة	أَكَمَة,أَكْمَه,كَمّ
الأكناف	كَنَف
الأكواخ	كُوخ
الأكوار	كُور
الأكوام	كَوْم
أكهى	NOTFOUND
أكيم	NOTFOUND
أكيراح	NOTFOUND
ألاب	NOTFOUND
ألاآت	NOTFOUND
ألاق	لاقَى
ألال	NOTFOUND
ألالة	NOTFOUND
الألاهة	NOTFOUND
ألبان	أَلْبانِيّ,لَبَن
إلبيرة	NOTFOUND
ألتاية	NOTFOUND
ألتى	NOTFOUND
ألجام	NOTFOUND
ألش	NOTFOUND
ألطا	NOTFOUND
ألعس	أَلْعَس
أللان	NOTFOUND
ألقي	لَقِي-َ,أَلَق,أَلْقَى
ألملم	لَمْلَم
ألوذ	لاذ
ألوس	لاس
ألومة	لَوَّم,لام
ألوة	أَلْوَى,لَوِي-َ,أَلا,لَوَى-ِ,أَلْوَة,لَوَّى
ألهان	NOTFOUND
ألهم	أَلْهَم,وَلِي-ِ,لَهِم-َ
أليس	لَيِس-َ,لَيْسَ,أَلْيَس
أليش	NOTFOUND
أليفة	أَلِيف,لَيَّف
الأليل	NOTFOUND
أليل	NOTFOUND
أليون	NOTFOUND
ألية	وَلِي-ِ,أَلْيَة
الأماحل	NOTFOUND
الأمالح	NOTFOUND
الأمثال	مِثْل,مَثَل
أمج	مَجّ,ماج
إمدان	NOTFOUND
أمديزة	NOTFOUND
الأمراء	أَمِير
الأمراج	NOTFOUND
الأمرار	مُرّ
أمواش	NOTFOUND
أمر	أَمْر,مار,مار-ِ,أَمَّر,أَمَرّ,مَرّ,أَمار,أَمَر
الأمرغ	NOTFOUND
أمرة	مار,أَمْر,مار-ِ,أَمَّر,أَمَرّ,مَرّ,أَمار,أَمَر
إمرة	إِمْرَة
أمعط	أَمْعَط,مَعَط-َ
أمغيشيا	NOTFOUND
الأملاح	مِلْح,مَلِيح
الأملال	NOTFOUND
الأملحان	أَمْلَح
أملط	مَلَّط,أَمْلَط,مَلَط
الأملول	NOTFOUND
أمن	مَنَى-ِ,مَنّ,مَنا,أَمَنّ,أَمِن-َ,أَمْن,أَمَّن,مَنَّى
أمويه	أُمَوِيّ
الأمهاد	NOTFOUND
أمهار	مُهْر
الأميرية	أَمِيرِيّ
الأميشط	NOTFOUND
الأميلح	NOTFOUND
الأميلحان	NOTFOUND
أميل	أَمال,أَمْيَل,مال-ِ,مَيَّل
الأمين	أَمِين
الأميوط	NOTFOUND
أنا	أَنا,أَنّ-ِ,أَنَّ
أنى	وَنَى-ِ,أَنَّ,أَنَّى,أَنَى-ِ,أَنَى
أناخة	أَناخ
أنار	أَنار
أناس	إِنْسان,إِنْس
أنبابة	NOTFOUND
الأنبار	أَنْبار,نِبْر
أنبامة	NOTFOUND
إنب	NOTFOUND
أنبردوان	NOTFOUND
